"No.","Scan List Name","Scan Channel Member","Scan Channel Member RX Frequency","Scan Channel Member TX Frequency","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 1 RX Frequency","Priority Channel 1 TX Frequency","Priority Channel 2","Priority Channel 2 RX Frequency","Priority Channel 2 TX Frequency","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"34","MTN 2","MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2|MTN 2","440.925|441.35|444.7125|441.7|433.15|145.51|434|444.15|441.2875|444.125|147.4125|444.15|147.4125|147.12","445.925|446.35|449.7125|446.7|449.65|147.51|434|449.15|446.2875|449.125|146.4125|449.15|146.4125|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"35","Manitoba","Manitoba|Manitoba","443.4|444.6","448.4|449.6","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"36","Michigan 1","Michigan 1|Michigan 1|Michigan 1|Michigan 1|Michigan 1","441.35|433.15|145.51|434|441.2875","446.35|449.65|147.51|434|446.2875","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"37","Michigan 2","Michigan 2|Michigan 2","433.15|145.51","449.65|147.51","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"38","Minnesota","Minnesota","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"39","Montana 2","Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2|Montana 2","440.7375|440.925|146.5|440.7|440.925|440.925|147.4125|441.35|440.375|433.15|145.51|434|440.7125|444.15|147.4125|441.2875|434|440.725|147.4125|147.12","440.7375|445.925|147.5|445.7|445.925|445.925|146.4125|446.35|445.375|449.65|147.51|434|445.7125|449.15|146.4125|446.2875|434|445.725|146.4125|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"40","NXDN Alabama","NXDN Alabama","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"41","NXDN Florida","NXDN Florida","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"42","NXDN N America","NXDN N America","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"43","NXDN Ragchew","NXDN Ragchew","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"44","NXDN Worldwide","NXDN Worldwide","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"45","Net 2","Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2|Net 2","440.7375|146.5|440.7|440.925|440.925|147.4125|441.35|440.375|433.15|145.51|440.725|440.7125|444.15|147.4125|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|440.725|147.4125|443.75|147.12","440.7375|147.5|445.7|445.925|445.925|146.4125|446.35|445.375|449.65|147.51|445.725|445.7125|449.15|146.4125|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|445.725|146.4125|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"46","New Brunswick","New Brunswick|New Brunswick","443.4|444.6","448.4|449.6","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"47","NoCO","NoCO","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"48","NorCal","NorCal","434","434","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"49","North America","North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America|North America","440.7375|440.925|146.5|440.7|440.925|147.4125|441.35|440.375|444.7125|441.7|433.15|145.51|443.4|444.6|434|440.7125|444.15|147.4125|441.2875|444.125|147.4125|444.15|440.725|147.4125|443.75|147.12","440.7375|445.925|147.5|445.7|445.925|146.4125|446.35|445.375|449.7125|446.7|449.65|147.51|448.4|449.6|434|445.7125|449.15|146.4125|446.2875|449.125|146.4125|449.15|445.725|146.4125|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"50","Ontario","Ontario|Ontario","443.4|444.6","448.4|449.6","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"51","Oregon 1","Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1|Oregon 1","440.7375|440.925|146.5|440.7|434|444.025|442.75|440.925|440.925|147.4125|441.35|440.375|444.7125|441.7|433.15|145.51|444.2375|442.8125|442.9875|440.725|434|440.7125|444.15|440.625|442.95|433|442.95|147.4125|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|444.4|440.725|147.4125|443.75|434|147.12","440.7375|445.925|147.5|445.7|434|449.025|447.75|445.925|445.925|146.4125|446.35|445.375|449.7125|446.7|449.65|147.51|449.2375|447.8125|447.9875|445.725|434|445.7125|449.15|445.625|447.95|440|447.95|146.4125|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|449.4|445.725|146.4125|448.75|434|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"52","PNW 1","PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1|PNW 1","440.7375|440.925|146.5|440.7|434|444.025|442.75|440.925|440.925|147.4125|441.35|444.7125|441.7|433.15|145.51|444.2375|442.8125|442.9875|443.4|440.725|444.6|440.7125|444.15|440.625|442.95|433|442.95|147.4125|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|434|440.725|147.4125|443.75|434|147.12","440.7375|445.925|147.5|445.7|434|449.025|447.75|445.925|445.925|146.4125|446.35|449.7125|446.7|449.65|147.51|449.2375|447.8125|447.9875|448.4|445.725|449.6|445.7125|449.15|445.625|447.95|440|447.95|146.4125|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|434|445.725|146.4125|448.75|434|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"53","PNW 2","PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2|PNW 2","440.7375|440.925|146.5|440.7|434|444.025|442.75|440.925|440.925|147.4125|441.35|440.375|444.7125|441.7|433.15|145.51|444.2375|442.8125|442.9875|443.4|440.725|444.6|440.7125|444.15|440.625|442.95|433|442.95|147.4125|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|444.4|434|440.725|147.4125|443.75|434|147.12","440.7375|445.925|147.5|445.7|434|449.025|447.75|445.925|445.925|146.4125|446.35|445.375|449.7125|446.7|449.65|147.51|449.2375|447.8125|447.9875|448.4|445.725|449.6|445.7125|449.15|445.625|447.95|440|447.95|146.4125|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|449.4|434|445.725|146.4125|448.75|434|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"54","PNW Regional","PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional|PNW Regional","440.7|434|440.925|147.4125|441.35|440.375|433.15|145.51|440.725|434|440.7125|444.15|434|433|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|434|440.725|147.4125|443.75|434|147.12","445.7|434|445.925|146.4125|446.35|445.375|449.65|147.51|445.725|434|445.7125|449.15|434|440|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|434|445.725|146.4125|448.75|434|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"55","Parrot","Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot|Parrot","440.7375|440.925|146.5|440.7|434|444.025|442.75|440.925|440.925|147.4125|441.35|440.375|444.7125|441.7|433.15|145.51|444.2375|442.8125|442.9875|440.725|440.7125|444.15|440.625|442.95|433|442.95|147.4125|441.2875|441.325|442.025|147.02|444.125|147.4125|444.15|444.4|434|440.725|147.4125|443.75|434|147.12","440.7375|445.925|147.5|445.7|434|449.025|447.75|445.925|445.925|146.4125|446.35|445.375|449.7125|446.7|449.65|147.51|449.2375|447.8125|447.9875|445.725|445.7125|449.15|445.625|447.95|440|447.95|146.4125|446.2875|446.325|447.025|147.62|449.125|146.4125|449.15|449.4|434|445.725|146.4125|448.75|434|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
